koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_eccen,koi_impact,koi_num_transits,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,koi_gmag,koi_rmag,koi_jmag
CONFIRMED,9.48803557,2.9575,6.1580e+02,0.022344,2.26,0.0853,89.66,793,93.59,0,0.146,142,35.8,0,0,0,0,5455,4.467,0.927,0.919,,15.347,15.89,15.27,14.082
CONFIRMED,54.4183827,4.507,8.7480e+02,0.027954,2.83,0.2734,89.57,443,9.11,0,0.586,25,25.8,0,0,0,0,5455,4.467,0.927,0.919,,15.347,15.89,15.27,14.082
CANDIDATE,19.89913995,1.7822,1.0829e+04,0.154046,14.6,0.1419,88.96,638,39.3,0,0.969,56,76.3,0,0,0,0,5853,4.544,0.868,0.961,,15.436,15.943,15.39,14.254
FALSE POSITIVE,1.736952453,2.40641,8.0792e+03,0.387394,33.46,0.0267,67.09,1395,891.96,0,1.276,621,505.6,0,1,0,0,5805,4.564,0.791,0.836,,15.597,16.1,15.554,14.326
CONFIRMED,2.525591777,1.6545,6.0330e+02,0.024064,2.75,0.0374,85.41,1406,926.16,0,0.701,515,40.9,0,0,0,0,6031,4.438,1.046,1.095,,15.509,16.015,15.468,14.366
CONFIRMED,11.09432054,4.5945,1.5175e+03,0.036779,3.9,0.0992,88.11,835,114.81,0,0.538,95,66.5,0,0,0,0,6046,4.486,0.972,1.053,,15.714,16.234,15.677,14.528
CONFIRMED,4.13443512,3.1402,6.8600e+02,0.026133,2.77,0.0514,83.72,1160,427.65,0,0.762,240,40.2,0,0,0,0,6046,4.486,0.972,1.053,,15.714,16.234,15.677,14.528
CONFIRMED,2.56658897,2.429,2.2650e+02,0.014983,1.59,0.0374,82.17,1360,807.74,0,0.755,355,15,0,0,0,0,6046,4.486,0.972,1.053,,15.714,16.234,15.677,14.528
FALSE POSITIVE,7.36178958,5.022,2.3370e+02,0.183387,39.21,0.082,60.92,1342,767.22,0,1.169,185,47.7,0,1,1,0,6227,3.986,1.958,1.358,,12.66,12.999,12.609,11.659
CONFIRMED,16.06864674,3.5347,4.9143e+03,0.062161,5.76,0.1158,89.92,600,30.75,0,0.052,69,161.9,0,0,0,0,5031,4.485,0.848,0.801,,15.841,16.559,15.77,14.363
CONFIRMED,2.470613377,1.74319,1.4231e+04,0.123871,13.04,0.0354,84.41,1339,761.46,0,0.818,432,4304.3,0,0,0,0,5820,4.457,0.964,0.971,,11.338,11.736,11.275,10.232
CONFIRMED,2.204735417,3.88864,6.6747e+03,0.075522,16.1,0.0376,87.21,2048,4148.92,0,0.224,611,5945.9,0,1,0,0,6440,4.019,1.952,1.449,,10.463,10.935,10.49,9.555
CONFIRMED,3.522498429,3.19843,9.1457e+03,0.092086,14.59,0.0473,85.2,1521,1264.67,0,0.631,384,1741.5,0,0,0,0,6225,4.169,1.451,1.132,,13.563,13.886,13.511,12.576
CONFIRMED,3.709214104,2.6302,1.3110e+02,0.010424,1.16,0.0465,89.73,1206,500.46,0,0.051,352,50.6,0,0,0,0,5833,4.407,1.022,0.974,,12.772,13.169,12.74,11.698
FALSE POSITIVE,11.52144606,3.6399,1.7984e+04,1.625358,150.51,0.0978,83.13,753,75.88,0,2.483,96,622.1,0,1,0,0,5795,4.554,0.848,0.938,,15.472,15.994,15.419,14.248
FALSE POSITIVE,19.40393776,12.2155,8.9187e+03,0.096729,7.18,0.123,84.93,523,17.69,0,0.804,71,214.7,0,1,0,0,5043,4.591,0.68,0.657,,15.487,16.229,15.44,13.95
FALSE POSITIVE,19.22138894,4.79843,7.4284e+04,0.476633,49.29,0.1417,88.05,698,55.97,0,1.065,55,2317,0,1,0,0,6117,4.496,0.947,1.025,,15.341,15.798,15.293,14.2
FALSE POSITIVE,16.46983774,9.4378,1.0479e+04,0.092509,7.94,0.1147,88.81,595,29.61,0,0.292,66,303.4,0,1,0,0,5152,4.517,0.786,0.741,,15.788,16.529,15.724,14.176
CONFIRMED,9.27358173,3.2875,1.2883e+03,0.032563,2.47,0.0759,88.93,649,41.85,0,0.387,144,87.2,0,0,0,0,4856,4.583,0.696,0.676,,15.302,16.111,15.24,13.672
